0.29,943.00
0.30,943.00
0.31,943.00
0.32,943.00
0.33,943.00
0.35,943.00
0.36,943.00
0.37,943.00
0.38,943.00
0.39,943.00
0.40,943.00
0.42,941.00
0.43,940.00
0.44,940.00
0.45,938.00
0.46,936.00
0.48,935.00
0.49,935.00
0.50,933.00
0.51,929.00
0.52,928.00
0.53,919.00
0.55,917.00
0.56,911.00
0.57,907.00
0.58,898.00
0.59,893.00
0.60,890.00
0.62,884.00
0.63,875.00
0.64,867.00
0.65,862.00
0.66,856.00
0.67,849.00
0.69,840.00
0.70,830.00
0.71,816.00
0.72,808.00
0.73,803.00
0.75,789.00
0.76,783.00
0.77,771.00
0.78,764.00
0.79,750.00
0.80,745.00
0.82,731.00
0.83,720.00
0.84,706.00
0.85,693.00
